Rank,Feature,Mean_Absolute_SHAP,Correlation,Effect_Direction,Feature_Value,SHAP_Value,Global_Rank
1,numeric__Catalytic_Converter_Efficiency_Pct,0.028460595605964617,0.8955834300768182,Higher values generally increase maintenance risk,78.41,0.012804248490541768,1
2,numeric__Total_Mileage_km,0.026486914006944345,-0.241360211382689,Higher values generally decrease maintenance risk,111038.0,0.05343646150212612,2
3,numeric__Vehicle_Age_years,0.023502091523220574,-0.029421221374679583,Weak or non-linear relationship,5.0,0.009819686163577734,3
4,numeric__Oil_Pressure_psi,0.02018122170278425,-0.049612542021730925,Weak or non-linear relationship,32.44,0.028780855757031237,4
5,categorical__Fuel_System_Material_Compatibility_Ethanol-Compatible (Tier-2/3),0.019333260427328025,-0.01131797484787053,Weak or non-linear relationship,1.0,-0.007685807378755864,5
6,numeric__Misfire_Count_per_1000rev,0.01746509216359416,,,8.57,0.0319127106959156,6
7,numeric__Vibration_Level_mm_s,0.017389475207765792,,,9.55,0.03718685327511624,7
8,numeric__Time_Since_Last_Service_days,0.015757709140483994,,,53.63,-0.00896016132199239,8
9,numeric__Injector_Flow_Drift_Pct,0.015269705660778716,,,12.14,0.04597785890137043,9
10,numeric__Idle_RPM_StdDev,0.013275878242329682,,,36.18,0.014680197946683673,10
11,numeric__Fuel_Pump_Pressure_Decay_kPa_min,0.012653525881154253,,,24.0,0.043941045331340425,11
12,numeric__Compression_Ratio_Change_Pct,0.011393510910285261,,,-4.4,0.005309054283504424,12
13,numeric__O2_Sensor_Response_ms,0.010240473489521347,,,116.97,-0.0034600232226390413,13
14,numeric__Fuel_System_Corrosion_Score,0.010212020756471537,,,1.99,0.005478503677073295,14
15,numeric__Fuel_Pump_Current_A,0.010009306590253193,,,5.75,0.011597798547448154,15
16,numeric__Time_Since_Injector_Replacement_km,0.008639336731341485,,,7102.21,0.00921084617196925,16
17,numeric__Cranking_Voltage_V,0.00807734683100459,,,12.28,0.004560787700388809,17
18,numeric__Engine_Run_Hours,0.007026760681932737,,,4579.05,0.02043147947806756,18
19,numeric__Ethanol_Content_Pct,0.007009348885377942,,,47.95,0.013371657539802045,19
20,numeric__LTFT_Pct,0.006921002078992263,,,12.29,0.015777626149999755,20
21,numeric__Knock_Sensor_Level,0.006496587005458544,,,3.0,0.009743097880312314,21
22,numeric__Spark_Plug_Wear_mm,0.006097220329899415,,,0.99,0.011943517232149446,22
23,categorical__Fuel_System_Material_Compatibility_Standard,0.005488323141766191,,,0.0,-0.0030948811216618428,23
24,numeric__Fuel_Water_Contamination_ppm,0.005343276535487278,,,342.11,0.005847341725997485,24
25,numeric__Time_Since_SparkPlug_Replacement_km,0.0053044409562337975,,,28049.55,0.01392103255000472,25
26,numeric__Coolant_Temperature_C,0.005157868102153512,,,100.9,0.002597080500072522,26
27,numeric__Cold_Start_Duration_s,0.0050722756357659046,,,1.61,0.0030941506075234677,27
28,numeric__Exhaust_Gas_Temperature_C,0.00471432276616631,,,758.59,0.0018881894659101871,28
29,numeric__Ambient_Temperature_C,0.004672441195324529,,,15.6,0.006646999626885303,29
30,numeric__Fuel_Consumption_Rate_L_100km,0.004633011965059375,,,11.71,0.004630060344180639,30
31,numeric__Fuel_Rail_Pressure_kPa,0.004619217946993811,,,341.63,0.005372750767929436,31
32,numeric__RPM_Avg,0.004527593663542065,,,1446.92,0.007252064914724565,32
33,numeric__STFT_Pct,0.0044489349372172585,,,3.73,0.004418746948155021,33
34,numeric__Oil_Temperature_C,0.0040387773840397075,,,101.16,0.005047787227737065,34
35,numeric__Altitude_m,0.004002699761693356,,,193.96,0.004595419596087289,35
36,numeric__MAP_kPa,0.003972733221653266,,,40.54,0.007114581807542316,36
37,numeric__Humidity_Pct,0.003955498391804549,,,76.55,0.007104882453524971,37
38,numeric__Avg_Trip_Length_km,0.003920316761720395,,,6.5,0.0031525850262749656,38
39,numeric__Avg_Load_Pct,0.0037286322120650087,,,26.57,-0.0004511339960520334,39
