Rank,Feature,Mean_Absolute_SHAP,Mean_SHAP
1,numeric__Catalytic_Converter_Efficiency_Pct,0.028460595605964617,0.0009414534518372746
2,numeric__Total_Mileage_km,0.026486914006944345,0.0015441715391125328
3,numeric__Vehicle_Age_years,0.023502091523220574,-0.00093013978992756
4,numeric__Oil_Pressure_psi,0.02018122170278425,-0.00016762266048653453
5,categorical__Fuel_System_Material_Compatibility_Ethanol-Compatible (Tier-2/3),0.019333260427328025,-0.0026720975878445374
6,numeric__Misfire_Count_per_1000rev,0.01746509216359416,-0.0013458061804953961
7,numeric__Vibration_Level_mm_s,0.017389475207765792,-0.00023956455602074184
8,numeric__Time_Since_Last_Service_days,0.015757709140483994,-1.0082344170875957e-05
9,numeric__Injector_Flow_Drift_Pct,0.015269705660778716,-0.0005266879426409908
10,numeric__Idle_RPM_StdDev,0.013275878242329682,-0.00198253958083369
11,numeric__Fuel_Pump_Pressure_Decay_kPa_min,0.012653525881154253,-0.00023581703246208527
12,numeric__Compression_Ratio_Change_Pct,0.011393510910285261,-0.0005048276062553224
13,numeric__O2_Sensor_Response_ms,0.010240473489521347,-0.00015205707506342223
14,numeric__Fuel_System_Corrosion_Score,0.010212020756471537,-0.0002525640188084817
15,numeric__Fuel_Pump_Current_A,0.010009306590253193,0.0009427469722683847
16,numeric__Time_Since_Injector_Replacement_km,0.008639336731341485,0.0008167562687169138
17,numeric__Cranking_Voltage_V,0.00807734683100459,-4.1645505498882396e-05
18,numeric__Engine_Run_Hours,0.007026760681932737,-0.0002742254419289455
19,numeric__Ethanol_Content_Pct,0.007009348885377942,-0.000409229045880045
20,numeric__LTFT_Pct,0.006921002078992263,-0.0007500707552024603
21,numeric__Knock_Sensor_Level,0.006496587005458544,-0.000597708330661547
22,numeric__Spark_Plug_Wear_mm,0.006097220329899415,0.00011958104485469384
23,categorical__Fuel_System_Material_Compatibility_Standard,0.005488323141766191,0.00020043841480149499
24,numeric__Fuel_Water_Contamination_ppm,0.005343276535487278,-0.0008194301894500041
25,numeric__Time_Since_SparkPlug_Replacement_km,0.0053044409562337975,0.0005473599304967336
26,numeric__Coolant_Temperature_C,0.005157868102153512,-0.0003029159827902358
27,numeric__Cold_Start_Duration_s,0.0050722756357659046,-0.00036684066838502593
28,numeric__Exhaust_Gas_Temperature_C,0.00471432276616631,-0.0006407368677094205
29,numeric__Ambient_Temperature_C,0.004672441195324529,-0.0003152899300050175
30,numeric__Fuel_Consumption_Rate_L_100km,0.004633011965059375,0.00017750237722519418
31,numeric__Fuel_Rail_Pressure_kPa,0.004619217946993811,-0.00019289784077273033
32,numeric__RPM_Avg,0.004527593663542065,0.00011585243844062482
33,numeric__STFT_Pct,0.0044489349372172585,-0.0003817908615366509
34,numeric__Oil_Temperature_C,0.0040387773840397075,7.01938142462079e-05
35,numeric__Altitude_m,0.004002699761693356,-0.000448827219147114
36,numeric__MAP_kPa,0.003972733221653266,-0.00021659042634325121
37,numeric__Humidity_Pct,0.003955498391804549,0.0005785563655917582
38,numeric__Avg_Trip_Length_km,0.003920316761720395,-5.0779059911067084e-05
39,numeric__Avg_Load_Pct,0.0037286322120650087,3.0691704783315e-06
40,numeric__Injector_Duty_Cycle_Pct,0.0035108979110216854,-0.0001150378198169462
41,numeric__Engine_Size_cc,0.003509428459779355,2.8066602801078786e-05
42,numeric__Idle_Time_Pct,0.0034590594007164314,-0.00021030971536016918
43,numeric__Engine_Load_Pct,0.0033263720097324793,-7.145117677091859e-05
44,numeric__Harsh_Event_Count_per_trip,0.002924444161975252,-4.020079209733157e-05
45,numeric__Blend_Switch_Frequency_per_month,0.0028566051265817784,-0.0001785982678075926
46,numeric__AFR_Lambda,0.002342700303399766,-0.00021920144828334128
47,categorical__Fuel_System_Material_Compatibility_Retrofit-Upgraded,0.0017462877732040637,-0.0002771198315546945
48,categorical__Climate_Region_Temperate,0.0010064296339772256,-0.00013265569377361708
49,categorical__Fuel_Vapor_Pressure_Class_Class 1 (Winter),0.0008804531649125776,-6.874639835795559e-05
50,categorical__Fuel_Vapor_Pressure_Class_Class 3,0.0007795520558717652,-4.278811619766748e-05
51,categorical__Climate_Region_Coastal,0.000753570090861901,-6.581962528760028e-05
52,categorical__Fuel_Vapor_Pressure_Class_Class 4 (Summer),0.0007525677848628932,-7.087482812241881e-05
53,categorical__Vehicle_Model_SUV,0.0007241761191152024,-2.5303022499143485e-06
54,categorical__Driving_Pattern_Mixed,0.0007239331290799352,0.00011533413524700983
55,categorical__Driving_Pattern_Urban,0.0006844997003476395,4.633107801018722e-06
56,categorical__Vehicle_Model_Van,0.0006763599670608118,-5.57792539529947e-05
57,categorical__Vehicle_Model_Car,0.0006588501529416189,-8.483654736602615e-06
58,categorical__Climate_Region_Humid,0.0006121179514195065,-1.8563310421152025e-05
59,categorical__Vehicle_Model_Truck,0.0005540014896157707,2.7894763641492523e-05
60,categorical__Climate_Region_Arid,0.0005324322433742552,-4.463671521902333e-05
61,categorical__Towing_Flag_True,0.0005016430752095148,3.0921599166116976e-06
62,categorical__Fuel_Vapor_Pressure_Class_Class 2,0.0004643190178335074,1.630246485480672e-05
63,categorical__Towing_Flag_False,0.00041142172983369145,-8.396961914603947e-05
64,categorical__Driving_Pattern_Highway,0.0003124523391615802,7.072113003618597e-07
65,categorical__Fuel_Line_Seal_Condition_Fail,1.2550135675219218e-05,3.6069698760169325e-06
66,categorical__Fuel_Line_Seal_Condition_Pass,5.535209747357755e-06,2.5666728731676372e-06
