Vehicle_Index,Actual_Need_Maintenance,Predicted_Need_Maintenance,Maintenance_Probability,Vehicle_Health_Score,Health_Status
0,1,1,0.9197,8.03,Critical
1,0,0,0.2476,75.24,Good
2,0,0,0.0406,95.94,Excellent
3,1,1,0.8784,12.16,Critical
4,0,0,0.0907,90.93,Excellent
5,0,0,0.1393,86.07,Excellent
6,1,1,0.9145,8.55,Critical
7,1,1,0.9882,1.18,Critical
8,1,1,0.7664,23.36,Poor
9,0,0,0.229,77.1,Good
10,0,0,0.1449,85.51,Excellent
11,0,0,0.047,95.3,Excellent
12,0,0,0.175,82.5,Excellent
13,0,0,0.0901,90.99,Excellent
14,0,0,0.0872,91.28,Excellent
15,0,0,0.1269,87.31,Excellent
16,0,0,0.0632,93.68,Excellent
17,1,1,0.8398,16.02,Critical
18,1,1,0.6529,34.71,Poor
19,1,1,0.8685,13.15,Critical
20,0,0,0.0763,92.37,Excellent
21,1,1,0.8619,13.81,Critical
22,1,1,0.7698,23.02,Poor
23,1,1,0.9208,7.92,Critical
24,1,1,0.8268,17.32,Critical
25,0,0,0.0575,94.25,Excellent
26,1,1,0.9495,5.05,Critical
27,0,0,0.1765,82.35,Excellent
28,0,0,0.1929,80.71,Excellent
29,0,0,0.0632,93.68,Excellent
30,0,0,0.3244,67.56,Good
31,0,0,0.2407,75.93,Good
32,1,1,0.9442,5.58,Critical
33,0,0,0.0918,90.82,Excellent
34,0,0,0.241,75.9,Good
35,0,0,0.0395,96.05,Excellent
36,0,0,0.0411,95.89,Excellent
37,1,1,0.8805,11.95,Critical
38,1,1,0.8052,19.48,Critical
39,0,0,0.1133,88.67,Excellent
40,1,1,0.8701,12.99,Critical
41,0,0,0.0855,91.45,Excellent
42,0,0,0.1606,83.94,Excellent
43,1,1,0.898,10.2,Critical
44,0,0,0.2421,75.79,Good
45,0,0,0.0557,94.43,Excellent
46,1,1,0.5882,41.18,Fair
47,0,0,0.3327,66.73,Good
48,1,1,0.9017,9.83,Critical
49,1,1,0.8297,17.03,Critical
50,0,0,0.1387,86.13,Excellent
51,1,1,0.9813,1.87,Critical
52,0,0,0.0978,90.22,Excellent
53,1,1,0.7671,23.29,Poor
54,1,1,0.9368,6.32,Critical
55,1,1,0.9731,2.69,Critical
56,1,1,0.856,14.4,Critical
57,0,0,0.1548,84.52,Excellent
58,0,0,0.1489,85.11,Excellent
59,0,0,0.1675,83.25,Excellent
60,0,0,0.0882,91.18,Excellent
61,0,0,0.0843,91.57,Excellent
62,0,0,0.1863,81.37,Excellent
63,0,0,0.2284,77.16,Good
64,1,1,0.8551,14.49,Critical
65,0,0,0.3962,60.38,Good
66,0,0,0.0759,92.41,Excellent
67,0,0,0.3637,63.63,Good
68,0,0,0.1592,84.08,Excellent
