Vehicle_Index,Maintenance_Probability,Vehicle_Health_Score,Health_Status,Priority,Recommended_Action,Recommendation,Risk_Level,Priority_Rank
5053,0.9991,0.09,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10807,0.9987,0.13,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15833,0.9986,0.14,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15603,0.9985,0.15,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5716,0.9981,0.19,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2560,0.9976,0.24,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23897,0.9976,0.24,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21629,0.9975,0.25,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
8428,0.9974,0.26,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17411,0.9971,0.29,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10732,0.9968,0.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21578,0.9968,0.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23361,0.9968,0.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10453,0.9967,0.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
